,SE1,SE2,SE3,SE4,DK1,DK2,EE,LV,LT
02/04/2014,,,,,23696,9259,867,26,116
03/04/2014,,,,,17502,6977,967,124,745
04/04/2014,,,,,48412,15790,1141,135,831
05/04/2014,,,,,24469,3899,2516,207,1124
06/04/2014,,,,,23266,5472,1297,404,1232
07/04/2014,,,,,21225,5474,200,84,795
08/04/2014,,,,,46629,12938,1218,102,631
09/04/2014,,,,,52962,17867,3189,134,1362
10/04/2014,,,,,3902,2092,1394,243,1413
11/04/2014,,,,,8003,2233,3217,312,1368
12/04/2014,,,,,35010,2455,1825,255,547
13/04/2014,,,,,62006,16312,3888,627,2195
14/04/2014,,,,,58134,13951,1323,290,1607
15/04/2014,,,,,36119,12584,1099,323,841
16/04/2014,,,,,8593,682,958,218,1340
17/04/2014,,,,,53689,11576,3258,582,1310
18/04/2014,,,,,35175,4493,1750,319,1650
19/04/2014,,,,,6969,5338,315,146,1051
20/04/2014,,,,,24283,12292,521,222,1901
21/04/2014,,,,,34278,10082,774,240,1462
22/04/2014,,,,,27066,7891,871,241,690
23/04/2014,,,,,20110,9110,2386,408,1795
24/04/2014,,,,,22823,8592,584,310,2430
25/04/2014,,,,,17767,6465,519,134,1068
26/04/2014,,,,,22056,6182,135,126,782
27/04/2014,,,,,19588,5915,281,144,326
28/04/2014,,,,,5065,2352,255,72,317
29/04/2014,,,,,5222,329,893,113,315
30/04/2014,,,,,11259,1241,637,133,406
01/05/2014,,,,,26176,4714,1336,506,1801
02/05/2014,,,,,7807,2823,1418,136,952
03/05/2014,,,,,29630,4741,749,267,498
04/05/2014,,,,,14520,6647,1029,330,1840
05/05/2014,,,,,4822,575,1654,388,1632
06/05/2014,,,,,29329,8208,830,80,354
07/05/2014,,,,,6518,3701,834,342,1223
08/05/2014,,,,,14411,7394,1153,332,711
09/05/2014,,,,,3449,3738,1091,169,912
10/05/2014,,,,,11954,6483,307,103,565
11/05/2014,,,,,19639,12265,762,296,1314
12/05/2014,,,,,16540,9717,1342,147,289
13/05/2014,,,,,35118,11532,1230,60,992
14/05/2014,,,,,27534,6971,1350,89,696
15/05/2014,,,,,6155,793,714,182,1292
16/05/2014,,,,,5288,1299,256,120,1339
17/05/2014,,,,,1957,1044,374,216,1977
18/05/2014,,,,,5598,1854,712,170,779
19/05/2014,,,,,3923,1179,1167,80,416
20/05/2014,,,,,5103,1137,470,24,98
21/05/2014,,,,,15675,4483,392,16,101
22/05/2014,,,,,24190,6103,356,73,1024
23/05/2014,,,,,8420,3378,1013,473,2363
24/05/2014,,,,,6658,1198,1217,322,2061
25/05/2014,,,,,6138,570,716,51,565
26/05/2014,,,,,5755,1752,1008,62,497
27/05/2014,,,,,38724,13452,2150,203,1597
28/05/2014,,,,,43044,15220,3036,247,1990
29/05/2014,,,,,14852,4056,1617,190,625
30/05/2014,,,,,19978,8493,249,33,390
31/05/2014,,,,,34969,6803,446,50,440
01/06/2014,,,,,3264,878,583,194,1223
02/06/2014,,,,,2282,264,2501,287,675
03/06/2014,,,,,3765,887,987,63,338
04/06/2014,,,,,10878,1912,816,98,361
05/06/2014,,,,,18849,4786,1185,46,270
06/06/2014,,,,,21058,7113,127,31,329
07/06/2014,,,,,3440,299,416,135,585
08/06/2014,,,,,7006,1469,474,125,749
09/06/2014,,,,,5512,1113,476,96,444
10/06/2014,,,,,14060,2959,864,163,877
11/06/2014,,,,,9079,2084,187,47,302
12/06/2014,,,,,31092,7440,961,119,1194
13/06/2014,,,,,41764,12031,850,236,1624
14/06/2014,,,,,15245,3961,2466,447,1799
15/06/2014,,,,,8420,948,1085,136,776
16/06/2014,,,,,21454,1669,1862,188,519
17/06/2014,,,,,10554,1169,3426,409,1316
18/06/2014,,,,,18078,3542,2421,113,1596
19/06/2014,,,,,58860,15148,639,365,2132
20/06/2014,,,,,39652,8853,844,314,1759
21/06/2014,,,,,46675,13978,1495,91,214
22/06/2014,,,,,47872,13318,194,124,1782
23/06/2014,,,,,32068,11994,209,339,1325
24/06/2014,,,,,4830,1550,301,247,1924
25/06/2014,,,,,3385,473,467,187,423
26/06/2014,,,,,2482,757,93,89,941
27/06/2014,,,,,4613,1386,295,83,509
28/06/2014,,,,,3110,1963,260,183,1225
29/06/2014,,,,,11363,722,1334,90,882
30/06/2014,,,,,14039,2683,398,10,274
01/07/2014,,,,,8325,3379,273,26,418
02/07/2014,,,,,20902,5688,1214,160,1043
03/07/2014,,,,,38929,7145,1853,363,1467
04/07/2014,,,,,16394,2510,1261,235,1041
05/07/2014,,,,,17180,2578,294,38,625
06/07/2014,,,,,12210,2942,840,98,814
07/07/2014,,,,,14375,4702,637,129,608
08/07/2014,,,,,16737,6411,768,191,1279
09/07/2014,,,,,34196,13591,831,279,1555
10/07/2014,,,,,18138,11329,2314,387,1903
11/07/2014,,,,,8602,8602,1874,379,2160
12/07/2014,,,,,3245,2018,1709,294,1590
13/07/2014,,,,,8657,4257,1253,319,949
14/07/2014,,,,,27916,12970,462,194,1278
15/07/2014,,,,,24548,4071,1054,272,684
16/07/2014,,,,,11420,939,811,201,340
17/07/2014,,,,,3570,340,161,44,296
18/07/2014,,,,,1947,594,73,12,243
19/07/2014,,,,,14409,3179,75,29,336
20/07/2014,,,,,28932,10126,449,92,549
21/07/2014,,,,,15825,11071,1338,187,671
22/07/2014,,,,,7734,5298,785,242,1157
23/07/2014,,,,,6121,3817,506,152,1362
24/07/2014,,,,,6603,3499,416,105,1013
25/07/2014,,,,,9672,7280,162,86,881
26/07/2014,,,,,9563,2461,20,118,808
27/07/2014,,,,,3644,539,217,152,1001
28/07/2014,,,,,4541,469,487,108,837
29/07/2014,,,,,5631,1607,249,21,535
30/07/2014,,,,,10231,2825,342,66,1262
31/07/2014,,,,,23547,4371,1672,181,933
01/08/2014,,,,,10624,3239,713,45,167
02/08/2014,,,,,33171,7409,255,129,1087
03/08/2014,,,,,9856,1484,1092,216,1562
04/08/2014,,,,,5132,2188,1162,297,1365
05/08/2014,,,,,4691,662,1072,202,659
06/08/2014,,,,,8778,1203,864,77,153
07/08/2014,,,,,10747,1184,522,25,232
08/08/2014,,,,,3020,470,204,33,520
09/08/2014,,,,,48171,10329,52,45,292
10/08/2014,,,,,39227,8708,197,59,250
11/08/2014,,,,,57737,12592,1074,240,1122
12/08/2014,,,,,40003,10632,618,151,772
13/08/2014,,,,,31306,6069,1296,242,1094
14/08/2014,,,,,31479,5605,1003,147,1887
15/08/2014,,,,,19478,3164,468,85,530
16/08/2014,,,,,45286,10053,365,149,669
17/08/2014,,,,,38817,15406,460,276,1696
18/08/2014,,,,,39383,18421,3000,453,2466
19/08/2014,,,,,61563,15875,3412,643,2906
20/08/2014,,,,,57177,16043,3379,721,3680
21/08/2014,,,,,33221,7587,2974,501,1621
22/08/2014,,,,,24942,9567,2051,368,1142
23/08/2014,,,,,26248,9670,1078,239,985
24/08/2014,,,,,48651,10370,759,72,296
25/08/2014,,,,,27076,6018,850,256,2688
26/08/2014,,,,,6192,2143,1492,386,1537
27/08/2014,,,,,6131,3013,1135,553,2308
28/08/2014,,,,,4919,708,1020,510,1765
29/08/2014,,,,,15069,2557,493,156,759
30/08/2014,,,,,13728,2968,330,10,307
31/08/2014,,,,,13344,2110,686,138,765
01/09/2014,,,,,7769,6213,485,128,876
02/09/2014,,,,,2255,3271,64,37,562
03/09/2014,,,,,4155,2819,590,9,291
04/09/2014,,,,,10202,5173,598,7,421
05/09/2014,,,,,6698,3156,667,53,714
06/09/2014,,,,,9929,3381,73,69,438
07/09/2014,,,,,4854,952,170,94,569
08/09/2014,,,,,30564,5674,754,181,923
09/09/2014,,,,,38394,11594,950,105,108
10/09/2014,,,,,19695,6693,199,115,426
11/09/2014,,,,,6985,3121,26,18,261
12/09/2014,,,,,3364,2370,49,40,1013
13/09/2014,,,,,10696,5112,671,159,996
14/09/2014,,,,,27446,11762,294,229,1577
15/09/2014,,,,,38822,14071,141,128,1313
16/09/2014,,,,,30869,9790,123,103,801
17/09/2014,,,,,24045,7025,134,108,776
18/09/2014,,,,,22889,6941,47,87,1141
19/09/2014,,,,,12330,2075,654,188,1602
20/09/2014,,,,,1906,383,952,85,560
21/09/2014,,,,,32827,6723,1283,92,367
22/09/2014,,,,,42984,13417,1104,80,373
23/09/2014,,,,,7986,1526,3331,652,2446
24/09/2014,,,,,15843,12110,2379,375,1230
25/09/2014,,,,,35457,10412,2968,354,1729
26/09/2014,,,,,41726,8437,2494,404,951
27/09/2014,,,,,41882,7554,3769,602,3304
28/09/2014,,,,,21108,3822,2824,560,2798
29/09/2014,,,,,3436,196,2060,204,1416
30/09/2014,,,,,9370,2167,2548,154,469
01/10/2014,,,,,7876,1437,127,140,855
02/10/2014,,,,,3895,709,724,136,756
03/10/2014,,,,,5027,2424,206,12,169
04/10/2014,,,,,31678,7414,249,28,150
05/10/2014,,,,,19517,6803,1390,129,796
06/10/2014,,,,,53302,14088,1399,438,2909
07/10/2014,,,,,58340,16376,3149,729,4065
08/10/2014,,,,,42683,11745,3514,491,2682
09/10/2014,,,,,44008,9712,1016,172,1219
10/10/2014,,,,,44724,8954,1470,216,1005
11/10/2014,,,,,10499,1113,1472,54,311
12/10/2014,,,,,8668,3740,358,171,1594
13/10/2014,,,,,13485,4724,154,56,475
14/10/2014,,,,,21004,1356,769,197,537
15/10/2014,,,,,21909,3123,3797,274,288
16/10/2014,,,,,9120,1803,1642,105,221
17/10/2014,,,,,10018,1438,474,55,494
18/10/2014,,,,,33901,6293,335,76,513
19/10/2014,,,,,48809,11714,3251,530,2292
20/10/2014,,,,,51495,15002,681,575,4032
21/10/2014,,,,,28224,7819,1451,148,633
22/10/2014,,,,,21807,3016,2446,561,3222
23/10/2014,,,,,24307,2831,1855,340,2595
24/10/2014,,,,,51929,11434,3786,469,2864
25/10/2014,,,,,26825,9919,4488,504,2801
26/10/2014,,,,,60321,11536,4756,495,1963
27/10/2014,,,,,62798,11729,5228,918,3449
28/10/2014,,,,,52882,8389,4566,763,2448
29/10/2014,,,,,24408,5317,4533,607,2314
30/10/2014,,,,,6340,711,629,36,363
31/10/2014,,,,,15109,2645,1005,7,69
01/11/2014,,,,,28291,4760,437,55,266
02/11/2014,,,,,48677,7429,4116,592,2162
03/11/2014,,,,,50627,14531,4550,557,2264
04/11/2014,,,,,17763,8217,4079,382,2300
05/11/2014,,,,,14185,4708,1840,87,753
06/11/2014,,,,,14851,4028,2195,164,774
07/11/2014,,,,,31901,4867,474,49,371
08/11/2014,,,,,38232,7241,837,90,301
09/11/2014,,,,,34338,6216,1273,120,613
10/11/2014,,,,,19094,3205,2509,206,1366
11/11/2014,,,,,24592,3611,1852,116,470
12/11/2014,,,,,49420,11346,262,222,1502
13/11/2014,,,,,16809,2378,1426,225,1395
14/11/2014,,,,,40313,8137,577,159,1225
15/11/2014,,,,,67529,17419,968,396,2062
16/11/2014,,,,,68469,18327,1930,511,3213
17/11/2014,,,,,37962,4305,1155,258,1895
18/11/2014,,,,,30244,10372,671,232,2185
19/11/2014,,,,,17639,6446,1295,157,1184
20/11/2014,,,,,2023,704,681,66,334
21/11/2014,,,,,1377,246,146,28,153
22/11/2014,,,,,21606,6646,37,12,66
23/11/2014,,,,,41536,12985,328,73,439
24/11/2014,,,,,36934,12062,3191,626,3490
25/11/2014,,,,,9995,2579,2863,215,1321
26/11/2014,,,,,17519,2981,787,21,631
27/11/2014,,,,,44549,10337,648,61,796
28/11/2014,,,,,59085,14072,305,117,962
29/11/2014,,,,,42965,13417,79,28,270
30/11/2014,,,,,43350,11957,18,16,186
01/12/2014,,,,,43751,13289,123,15,402
02/12/2014,,,,,11393,3086,2013,134,1442
03/12/2014,,,,,2837,462,3057,141,651
04/12/2014,,,,,10991,5727,2351,123,118
05/12/2014,,,,,13473,4623,1652,180,1556
06/12/2014,,,,,20179,5116,2688,235,1408
07/12/2014,,,,,53172,15834,2655,320,1346
08/12/2014,,,,,21366,11108,3533,380,2158
09/12/2014,,,,,31696,8446,2603,206,1046
10/12/2014,,,,,65326,20281,5168,833,3645
11/12/2014,,,,,48848,18756,4500,689,2677
12/12/2014,,,,,37141,18598,3386,552,3692
13/12/2014,,,,,48043,15728,3872,729,4928
14/12/2014,,,,,57622,14598,2554,490,2236
15/12/2014,,,,,47504,17667,4631,632,2181
16/12/2014,,,,,40053,14104,3573,498,2476
17/12/2014,,,,,26179,11030,1879,342,2918
18/12/2014,,,,,47495,13732,2287,323,1669
19/12/2014,,,,,59617,17362,3132,696,4203
20/12/2014,,,,,66997,19717,2490,560,3842
21/12/2014,,,,,54654,17211,3273,455,2314
22/12/2014,,,,,55782,18251,1444,447,3713
23/12/2014,,,,,44200,12693,1001,438,4150
24/12/2014,,,,,26599,13956,875,203,2068
25/12/2014,,,,,26388,9858,2448,206,1383
26/12/2014,,,,,9924,1622,2964,316,655
27/12/2014,,,,,9745,1487,859,306,962
28/12/2014,,,,,13522,2453,620,52,18
29/12/2014,,,,,16349,3029,381,49,426
30/12/2014,,,,,30741,5761,4101,489,2455
31/12/2014,,,,,37998,9684,3177,371,2597
01/01/2015,,,,,68676,16953,3036,571,4917
02/01/2015,,,,,74827,21390,5143,980,4731
03/01/2015,,,,,59688,18217,4858,887,4659
04/01/2015,,,,,45770,15376,4432,860,2643
05/01/2015,,,,,14259,6209,2765,372,732
06/01/2015,,,,,34851,7653,760,86,3360
07/01/2015,,,,,41383,10730,4575,556,3350
08/01/2015,,,,,56485,16847,4582,809,2442
09/01/2015,,,,,65035,20831,907,392,2220
10/01/2015,,,,,49592,14905,1561,419,4516
11/01/2015,,,,,63025,18905,2667,711,3507
12/01/2015,,,,,71279,18497,2027,437,4151
13/01/2015,,,,,36656,11635,4406,648,2756
14/01/2015,,,,,42172,12628,2838,442,2511
15/01/2015,,,,,68893,18412,3073,527,3332
16/01/2015,,,,,64764,16777,5791,878,1418
17/01/2015,,,,,44090,11793,4170,457,1271
18/01/2015,,,,,17240,6541,3632,493,177
19/01/2015,,,,,5752,2335,570,61,1603
20/01/2015,,,,,10601,1399,835,344,994
21/01/2015,,,,,2557,394,1946,225,67
22/01/2015,,,,,1032,256,418,12,130
23/01/2015,,,,,15362,1171,660,32,282
24/01/2015,1649,8635,23540,12469,42252,11325,1461,42,68
25/01/2015,3846,12525,5367,2023,15686,3705,625,8,555
26/01/2015,7285,13393,19185,11517,38148,10973,981,59,1299
27/01/2015,6934,19305,11410,5401,33236,9947,1633,80,1180
28/01/2015,3482,14867,31432,19181,61524,15988,3609,124,3473
29/01/2015,4252,15752,26446,23085,38385,18481,4569,266,3623
30/01/2015,2873,8382,10450,5521,5159,2244,2248,347,1498
31/01/2015,2934,11835,12429,3267,8617,6876,2715,258,4008
01/02/2015,7347,22891,16414,10883,21597,9929,2758,521,2888
02/02/2015,5417,15017,11350,2322,15287,7152,2836,364,1082
03/02/2015,2787,9125,12362,3428,17574,2758,982,210,439
04/02/2015,982,3691,8005,2563,14785,2001,272,76,1
05/02/2015,6416,14694,7024,1877,6012,1697,343,7,1436
06/02/2015,7544,24228,17599,5861,21189,2071,3579,330,3403
07/02/2015,8655,27251,32429,21660,69633,17457,2095,584,3706
08/02/2015,5582,20177,31574,22861,55566,16983,4917,733,487
09/02/2015,6420,24172,23369,12450,58344,9904,784,58,528
10/02/2015,8870,27153,20254,9571,50723,5417,2543,39,441
11/02/2015,8881,25083,24430,6400,15799,2085,2514,109,1405
12/02/2015,9044,19310,19744,4488,8106,587,3247,562,541
13/02/2015,4098,7574,6626,1260,14234,1384,976,107,261
14/02/2015,2001,4829,6395,3738,24771,4955,996,39,2930
15/02/2015,8257,22736,21934,23433,55959,17874,2611,446,3253
16/02/2015,10183,27598,21141,22628,51250,14392,2725,451,3970
17/02/2015,9455,25613,27091,10372,24490,3271,4642,630,4046
18/02/2015,7204,21520,36464,22521,64549,13683,3627,795,3176
19/02/2015,7091,22164,37984,18951,70430,13731,3068,577,1950
20/02/2015,6758,13751,27495,17474,40200,14220,4425,684,2938
21/02/2015,5167,10050,8906,8274,5457,9021,3239,429,2308
22/02/2015,3568,9112,21083,17342,30826,11351,4911,748,1309
23/02/2015,5388,22262,29313,20548,47914,16094,3317,330,504
24/02/2015,7591,18006,22267,14993,49827,14474,2028,121,351
25/02/2015,4043,12509,24825,8872,18612,6806,1450,123,73
26/02/2015,4644,19953,21789,9819,37405,8940,69,2,290
27/02/2015,9815,25795,20238,7715,8028,5130,47,13,126
28/02/2015,7776,21978,18721,5224,39418,6361,254,14,2126
01/03/2015,10290,29181,32944,21584,58242,15797,2336,305,1084
02/03/2015,7934,15413,10616,9946,31919,14956,2096,137,4429
03/03/2015,2043,1040,10834,17921,28605,10805,1728,335,724
04/03/2015,897,2800,8569,5223,21151,7785,1996,99,219
05/03/2015,2906,12669,10955,4312,21742,4986,146,4,1432
06/03/2015,6505,17092,18058,11945,29854,8690,3078,386,1949
07/03/2015,9898,28244,38675,21461,61151,15197,3109,549,3632
08/03/2015,8710,23327,37614,18773,48756,11889,4525,909,1112
09/03/2015,9634,22749,14493,6726,15313,3936,1833,187,932
10/03/2015,4470,17653,37348,19619,52999,10300,3848,504,515
11/03/2015,5417,14132,16022,10525,19132,8415,1864,153,2049
12/03/2015,8303,16254,9637,4068,4389,1673,1246,322,3281
13/03/2015,9248,21759,11230,12484,16701,9380,2100,501,1744
14/03/2015,4331,5276,16806,14888,26672,11615,1978,261,1406
15/03/2015,5383,10511,14708,13033,29829,13268,1414,257,2116
16/03/2015,6594,13278,12106,14386,45854,15313,1448,363,2399
17/03/2015,4738,8463,13874,15528,26080,11042,1190,356,846
18/03/2015,2624,6351,6405,11355,7912,7491,319,144,123
19/03/2015,8981,18185,6953,2402,4479,574,1192,39,734
20/03/2015,5523,8681,3505,3146,14876,2482,758,84,1666
21/03/2015,2628,6652,18201,13809,34682,7909,3021,367,962
22/03/2015,7409,17770,29280,7776,14743,2452,1687,292,3221
23/03/2015,1924,14354,38024,17128,37678,6719,4608,921,1249
24/03/2015,5735,16571,11881,3749,2240,885,3345,333,874
25/03/2015,3860,6833,24082,16218,23696,9637,1663,188,2916
26/03/2015,5686,20684,21920,12051,19595,3820,3388,608,711
27/03/2015,5027,7326,3621,1544,7345,758,3868,176,415
28/03/2015,1705,8518,9840,8156,39214,5532,1760,43,2036
29/03/2015,7866,22467,18893,14980,24830,8870,2373,438,4577
30/03/2015,3197,4161,10651,18298,58733,14245,4173,594,2848
31/03/2015,1171,6488,8684,10423,39570,11205,2648,485,1944
01/04/2015,3081,5014,6432,15577,65407,15612,856,229,1977
02/04/2015,1952,12564,13083,11061,46779,10253,1275,277,1283
03/04/2015,2104,15597,13115,7382,21845,5605,294,169,935
04/04/2015,1809,8451,14999,6812,10908,3264,1523,163,551
05/04/2015,2482,5892,7155,8805,9688,3482,1110,99,701
06/04/2015,7720,18105,11780,5306,4933,1903,859,102,1711
07/04/2015,7756,25759,20673,15810,41968,9894,1911,327,1636
08/04/2015,10409,27419,17946,6749,24613,4808,4799,402,2911
09/04/2015,7998,23718,23752,10861,7475,1299,3369,640,1733
10/04/2015,7349,21321,23038,6174,3876,685,2161,232,669
11/04/2015,3799,9142,9935,10364,33629,8056,1043,149,4386
12/04/2015,1361,16927,32817,25598,59637,13231,3388,840,3437
13/04/2015,7874,28037,20723,30067,63509,17909,1855,402,2400
14/04/2015,4150,12082,18711,16198,44962,10650,3167,463,2749
15/04/2015,499,6811,16202,20046,51562,14039,835,343,3764
16/04/2015,6018,18322,21087,20202,58976,14099,1882,423,1828
17/04/2015,3408,15170,18561,9966,31686,8390,1474,253,1449
18/04/2015,3410,17348,12641,8097,10361,2348,1081,240,1908
19/04/2015,8813,28027,20482,8385,14808,1346,2010,369,2915
20/04/2015,4791,21454,17157,11787,15239,3624,2734,593,1111
21/04/2015,4379,12435,8918,7883,42775,8370,1477,242,711
22/04/2015,7439,25860,12628,5174,16687,2271,2365,122,3458
23/04/2015,3062,27743,30060,22037,40347,10381,4009,387,2561
24/04/2015,1074,11482,15000,12270,17846,3092,1881,362,343
25/04/2015,2457,14038,12967,7615,30722,4714,602,81,555
26/04/2015,5232,13616,16306,4096,9500,2522,940,38,1018
27/04/2015,1314,1548,6643,2268,17943,2033,858,58,550
28/04/2015,1735,4209,3876,4446,16891,2964,396,73,2205
29/04/2015,572,3845,12142,11624,33279,7087,2835,417,893
30/04/2015,3354,11462,14693,12477,14946,4996,1237,111,1364
01/05/2015,4035,3960,6070,4589,4056,894,1862,265,2888
02/05/2015,1996,12071,13835,11994,11497,2150,1039,275,175
03/05/2015,2717,9574,4637,4925,25903,8078,632,39,1994
04/05/2015,1471,8312,18503,10756,29996,7002,579,308,683
05/05/2015,5438,11761,13390,13339,44756,13289,1192,113,1002
06/05/2015,6686,15759,19996,12022,49746,7845,2840,267,537
07/05/2015,4357,11037,22261,16101,55874,13686,672,148,1133
08/05/2015,1807,6434,29694,11361,13598,1585,1508,401,266
09/05/2015,4559,15099,9031,7429,38899,6688,1506,86,1269
10/05/2015,2978,4788,8377,11139,38217,13273,984,246,296
11/05/2015,3828,16083,23397,11544,45659,8095,700,74,2664
12/05/2015,1275,8044,19419,12152,30781,8376,3074,603,4162
13/05/2015,4351,21278,22860,21186,60388,16644,4372,786,896
14/05/2015,10467,31164,16683,5330,11608,4906,2060,58,1356
15/05/2015,7590,18074,13436,6253,6232,1892,1238,236,789
16/05/2015,1107,7185,8194,7908,37917,8330,909,235,3606
17/05/2015,846,3676,22030,24921,59457,16220,494,527,3082
18/05/2015,1508,2294,5349,9342,25630,5550,701,503,972
19/05/2015,1666,4784,15225,9695,38418,6585,789,148,646
20/05/2015,798,5414,9334,7906,14943,2787,797,78,1118
21/05/2015,1862,8155,8743,4362,8764,2183,1024,128,329
22/05/2015,4169,17190,28646,8723,33957,2556,1074,172,818
23/05/2015,6741,24194,21448,10695,35507,3742,2747,270,218
24/05/2015,4893,12674,11831,6315,25193,1469,1305,175,373
25/05/2015,535,2969,12784,4838,13141,1245,961,141,861
26/05/2015,442,2820,6331,8504,41093,7451,525,139,1079
27/05/2015,3142,13395,9290,12175,39688,9122,532,68,396
28/05/2015,3077,9610,12570,11526,42719,9389,495,95,797
29/05/2015,3090,11156,22770,10980,27974,6099,1048,193,2437
30/05/2015,2677,9373,19708,17458,50071,14949,1068,469,1617
31/05/2015,5138,17558,30876,19877,46943,11253,2939,640,2013
01/06/2015,5700,19201,32515,17119,50928,8838,2848,401,600
02/06/2015,8901,20931,26502,19022,60667,14252,575,143,3594
03/06/2015,2260,14096,37196,27852,64680,15612,4632,866,2626
04/06/2015,5574,24958,25273,14720,18036,2971,3619,474,322
05/06/2015,7502,15073,6453,5486,21575,5653,1304,111,1628
06/06/2015,1786,12905,25888,14995,40393,9482,1600,367,1228
07/06/2015,4263,18818,33292,17702,50755,7551,3821,451,1064
08/06/2015,3655,17503,10320,7489,26214,3318,2105,187,698
09/06/2015,5775,11353,5114,2403,4353,725,1116,136,564
10/06/2015,9017,20838,19426,8722,23134,886,2320,212,1226
11/06/2015,7175,16579,11041,5235,15814,1118,1655,124,293
12/06/2015,4331,10324,8823,2977,2159,408,2033,220,379
13/06/2015,4316,9417,7918,3987,7257,2238,1173,82,1488
14/06/2015,1482,5000,13655,14091,45247,8164,1152,304,1502
15/06/2015,4119,22809,10531,10687,42413,6334,2426,264,523
